,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.003866537008434534,0.6896551724137931,0.42105263157894735,0.5228758169934641,0.972933624511945,37.0763,16.237,0.27,1.0,411,,,,,,,
1,,,,,,,,,1.22,500,0.0093,1.800498753117207e-05,,,,,
2,0.003194662043824792,0.7466216216216216,0.5815789473684211,0.6538461538461539,0.9785586658725431,37.8143,15.92,0.264,2.0,822,,,,,,,
3,,,,,,,,,2.43,1000,0.0029,1.551122194513716e-05,,,,,
4,0.0031519297044724226,0.6666666666666666,0.6578947368421053,0.6622516556291391,0.9776983654291576,37.4373,16.08,0.267,3.0,1233,,,,,,,
5,,,,,,,,,3.65,1500,0.0018,1.3017456359102245e-05,,,,,
6,0.003283798461779952,0.6790123456790124,0.7236842105263158,0.7006369426751592,0.9789557276156442,39.0881,15.401,0.256,4.0,1644,,,,,,,
7,,,,,,,,,4.87,2000,0.001,1.0523690773067332e-05,,,,,
8,0.0035942906979471445,0.7023498694516971,0.7078947368421052,0.7051114023591087,0.9789557276156442,38.3009,15.718,0.261,5.0,2055,,,,,,,
9,0.003931159619241953,0.716931216931217,0.7131578947368421,0.7150395778364116,0.9800145589305804,39.0964,15.398,0.256,6.0,2466,,,,,,,
10,,,,,,,,,6.08,2500,0.0006,8.02992518703242e-06,,,,,
11,0.0042505101300776005,0.7690058479532164,0.6921052631578948,0.7285318559556787,0.9808086824167824,39.1616,15.372,0.255,7.0,2877,,,,,,,
12,,,,,,,,,7.3,3000,0.0004,5.536159600997507e-06,,,,,
13,0.0043789115734398365,0.7342465753424657,0.7052631578947368,0.7194630872483221,0.9802130898021308,38.4094,15.673,0.26,8.0,3288,,,,,,,
14,,,,,,,,,8.52,3500,0.0003,3.0423940149625936e-06,,,,,
15,0.004502243362367153,0.7317073170731707,0.7105263157894737,0.7209612817089454,0.9801469128449474,39.5228,15.232,0.253,9.0,3699,,,,,,,
16,,,,,,,,,9.73,4000,0.0003,5.486284289276808e-07,,,,,
17,0.004574656952172518,0.7299465240641712,0.718421052631579,0.7241379310344828,0.9800807358877639,38.603,15.595,0.259,10.0,4110,,,,,,,
18,,,,,,,,,10.0,4110,,,15908.2173,4.129,0.258,8581450770432000.0,0.0020113572795533207
